family,dataset_id,model,selector,feature_count,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_epoch_mean,best_epoch_std
bert,20ng,bert_cls,df,1000,5,0.5070816264061424,0.041852772741635104,0.5000849993064937,0.04416977140512778,0.5024191919191919,0.04535620312255829,18.2,4.381780460041329
bert,20ng,bert_cls,df,1500,5,0.5575220263755325,0.023163230729073624,0.5471963656251996,0.03411525550561108,0.5514574314574314,0.0247498544810995,17.4,7.436396977031283
bert,20ng,bert_cls,df,2000,5,0.6018457771088948,0.014226000989665456,0.5980545487006315,0.013411954493125702,0.599044733044733,0.014541764740683654,14.6,3.507135583350036
bert,20ng,bert_cls,df,500,5,0.3618257531311379,0.0804709115610765,0.3409890168145319,0.09820847277066538,0.3529675324675325,0.08198718568367717,10.8,4.147288270665544
bert,20ng,bert_cls,dfs,1000,5,0.6059168941152463,0.03734400142782017,0.6063452639674495,0.03784974361256338,0.6057709235209235,0.03645598657559281,14.8,3.5637059362410923
bert,20ng,bert_cls,dfs,1500,5,0.6311348111113946,0.04011108940063912,0.6294994844946029,0.04326923307464257,0.6322164502164502,0.04161128848424752,20.0,11.067971810589327
bert,20ng,bert_cls,dfs,2000,5,0.6249979083233426,0.04222095480058568,0.6254343610958198,0.040181847628962944,0.624166305916306,0.044121603831260965,13.0,3.605551275463989
bert,20ng,bert_cls,dfs,500,5,0.5615670994566743,0.03979811566686614,0.5633118586661333,0.039680327921015904,0.5623888888888889,0.03842444358881568,10.0,1.5811388300841898
bert,20ng,bert_cls,ig,1000,5,0.6078508022345228,0.01701250823494694,0.6002668159817577,0.02024935831656694,0.6057647907647907,0.018356308431937866,14.6,5.594640292279746
bert,20ng,bert_cls,ig,1500,5,0.6128655715123843,0.0174464921205742,0.6040469422626792,0.02383541327552957,0.6115036075036074,0.02092403271628641,12.6,6.107372593840988
bert,20ng,bert_cls,ig,2000,5,0.6130134428487616,0.047685287667870765,0.6115212746014158,0.0488513846105791,0.614301948051948,0.04811468088135312,14.2,3.1144823004794873
bert,20ng,bert_cls,ig,500,5,0.5555425860265796,0.03048198237176605,0.5584467322251572,0.03232160155277711,0.5582279942279942,0.03367799562558428,16.8,3.3466401061363023
bert,20ng,bert_cls,none,all,5,0.6905447542279928,0.031588268899399384,0.6856500382996951,0.028746096404096106,0.6885948773448773,0.02921273115256973,11.8,3.1144823004794873
bert,amazon_review_full,bert_cls,df,1000,5,0.44921516674280493,0.04672010306071949,0.44586560389985763,0.042642414235941256,0.4493589743589743,0.046544906666794866,9.6,4.159326868617084
bert,amazon_review_full,bert_cls,df,1500,5,0.47751291812598345,0.038115253961568465,0.4746295724089245,0.036545131501883085,0.4776410256410257,0.03790858931672636,9.2,2.6832815729997477
bert,amazon_review_full,bert_cls,df,2000,5,0.4754421095375869,0.02110686595362611,0.4759201921876611,0.02090099582056754,0.47517948717948716,0.020930758393875783,8.2,2.7748873851023217
bert,amazon_review_full,bert_cls,df,500,5,0.4222505964164256,0.03356445568263825,0.4154960925793114,0.04355566660314344,0.42228205128205126,0.03342362032743075,9.0,4.69041575982343
bert,amazon_review_full,bert_cls,dfs,1000,5,0.397149484797726,0.01970494008891542,0.3948945822071238,0.018032636254222505,0.3971538461538462,0.019667351975490032,7.4,3.7815340802378072
bert,amazon_review_full,bert_cls,dfs,1500,5,0.4173110502004974,0.032870346068833864,0.4165609885396986,0.03240003229061947,0.4171538461538462,0.032681798210223705,12.0,5.049752469181039
bert,amazon_review_full,bert_cls,dfs,2000,5,0.42019486320491345,0.022919457406351245,0.4141621479916589,0.026391741681386655,0.4203076923076923,0.02283502131712567,8.6,1.6733200530681511
