family,selector,feature_count,dataset_model_cells,mean_cell_accuracy,mean_accuracy_delta_vs_none,cell_wins,cell_ties,cell_losses
bert,df,500,4,0.6204047728888538,-0.09432103650420734,1,0,3
bert,df,1000,4,0.6613243394186376,-0.053401469974423556,1,0,3
bert,df,1500,4,0.6885800605312962,-0.02614574886176492,1,1,2
bert,df,2000,4,0.692070193870491,-0.022655615522570137,1,0,3
bert,dfs,500,4,0.6582023224720711,-0.05652348692099,1,0,3
bert,dfs,1000,4,0.6829119818475919,-0.03181382754546917,1,0,3
bert,dfs,1500,4,0.6930744837057269,-0.02165132568733424,1,0,3
bert,dfs,2000,4,0.6910152988148579,-0.023710510578203222,1,0,3
bert,ig,500,4,0.6664506237873644,-0.04827518560569662,1,0,3
bert,ig,1000,4,0.6762362139776,-0.038489595415461056,1,0,3
bert,ig,1500,4,0.6863321410589827,-0.02839366833407851,1,0,3
bert,ig,2000,4,0.6887561650297137,-0.02596964436334745,1,0,3
classic,df,500,24,0.5350948246407027,-0.02387406393753323,10,0,14
classic,df,1000,24,0.5526067135836906,-0.006362174994545298,15,0,9
classic,df,1500,24,0.5566652309633243,-0.0023036576149116058,16,0,8
classic,df,2000,24,0.5568429321876245,-0.0021259563906114425,12,0,12
classic,dfs,500,24,0.6360940088382493,0.07712512026001335,17,0,7
classic,dfs,1000,24,0.6395415376138162,0.08057264903558023,20,0,4
classic,dfs,1500,24,0.6294058046916171,0.0704369161133812,21,0,3
classic,dfs,2000,24,0.6252455287242615,0.06627664014602552,20,0,4
classic,ig,500,24,0.6002250220779195,0.041256133499683545,17,0,7
classic,ig,1000,24,0.599799947432981,0.04083105885474507,18,0,6
classic,ig,1500,24,0.5877570688693398,0.028788180291103797,18,0,6
classic,ig,2000,24,0.5823005554692113,0.02333166689097539,18,0,6
gcn,df,500,4,0.5117290798579809,-0.05566611385294298,1,0,3
gcn,df,1000,4,0.5355137648871423,-0.03188142882378155,2,0,2
gcn,df,1500,4,0.547621386572285,-0.01977380713863884,1,0,3
gcn,df,2000,4,0.5465756887966303,-0.020819504914293515,1,0,3
gcn,dfs,500,4,0.6171012002625588,0.04970600655163494,3,0,1
gcn,dfs,1000,4,0.6226371254467826,0.05524193173585874,4,0,0
gcn,dfs,1500,4,0.6030868685544851,0.03569167484356132,3,0,1
gcn,dfs,2000,4,0.6087597567053421,0.04136456299441824,3,0,1
gcn,ig,500,4,0.5784176457132424,0.011022452002318581,2,0,2
gcn,ig,1000,4,0.5782310682547166,0.010835874543792751,2,0,2
gcn,ig,1500,4,0.5735756039272033,0.006180410216279441,2,0,2
gcn,ig,2000,4,0.5648845180242787,-0.0025106756866450546,2,0,2
