family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
bert,20ng,bert_cls,df,500,5,-0.3287190010968548,0.06691099388167432,0,0,5
bert,20ng,bert_cls,df,1000,5,-0.18346312782185037,0.023125844392759512,0,0,5
bert,20ng,bert_cls,df,1500,5,-0.13302272785246022,0.028957151503215404,0,0,5
bert,20ng,bert_cls,df,2000,5,-0.08869897711909802,0.03395123860662215,0,0,5
bert,20ng,bert_cls,dfs,500,5,-0.1289776547713185,0.03582315996683298,0,0,5
bert,20ng,bert_cls,dfs,1000,5,-0.08462786011274645,0.016882115747243118,0,0,5
bert,20ng,bert_cls,dfs,1500,5,-0.059409943116598196,0.029464364730783364,0,0,5
bert,20ng,bert_cls,dfs,2000,5,-0.06554684590465014,0.03656273303683372,0,0,5
bert,20ng,bert_cls,ig,500,5,-0.13500216820141314,0.03375917208333331,0,0,5
bert,20ng,bert_cls,ig,1000,5,-0.08269395199346989,0.01722138983254533,0,0,5
bert,20ng,bert_cls,ig,1500,5,-0.0776791827156085,0.027261889138038384,0,0,5
bert,20ng,bert_cls,ig,2000,5,-0.0775313113792312,0.023439132920113844,0,0,5
bert,amazon_review_full,bert_cls,df,500,5,-0.0741714126186488,0.03178324761244139,0,0,5
bert,amazon_review_full,bert_cls,df,1000,5,-0.04720684229226944,0.028208682270338518,0,0,5
bert,amazon_review_full,bert_cls,df,1500,5,-0.01890909090909092,0.04131690667099251,1,1,3
bert,amazon_review_full,bert_cls,df,2000,5,-0.020979899497487454,0.02927562675090909,1,1,3
bert,amazon_review_full,bert_cls,dfs,500,5,-0.12632267397594032,0.020668066817104817,0,0,5
bert,amazon_review_full,bert_cls,dfs,1000,5,-0.09927252423734836,0.040263108213457126,0,0,5
bert,amazon_review_full,bert_cls,dfs,1500,5,-0.07911095883457694,0.04160479357949689,0,0,5
bert,amazon_review_full,bert_cls,dfs,2000,5,-0.07622714583016092,0.029607637901699582,0,0,5
bert,amazon_review_full,bert_cls,ig,500,5,-0.09930257347342776,0.044512521387753246,0,0,5
bert,amazon_review_full,bert_cls,ig,1000,5,-0.09735297700624337,0.04344905423853307,0,0,5
bert,amazon_review_full,bert_cls,ig,1500,5,-0.06511603471904982,0.06004565555533922,0,0,5
bert,amazon_review_full,bert_cls,ig,2000,5,-0.0630806558042739,0.03464430797754708,0,0,5
bert,farm_ads,bert_cls,df,500,5,-0.014727786337955861,0.03274487924028975,2,0,3
bert,farm_ads,bert_cls,df,1000,5,-0.019279661016949157,0.02360257775879027,1,1,3
bert,farm_ads,bert_cls,df,1500,5,-2.2204460492503132e-17,0.018411195165931423,2,2,1
bert,farm_ads,bert_cls,df,2000,5,-0.0362930148947098,0.04443379245866102,1,1,3
bert,farm_ads,bert_cls,dfs,500,5,-0.026091422701592214,0.02427463655328382,0,0,5
bert,farm_ads,bert_cls,dfs,1000,5,-0.023850796096558803,0.02554446811549434,1,0,4
bert,farm_ads,bert_cls,dfs,1500,5,-0.012519260400616327,0.02519038410301115,2,0,3
bert,farm_ads,bert_cls,dfs,2000,5,-0.020396764252696476,0.023538936113155964,1,0,4
bert,farm_ads,bert_cls,ig,500,5,-0.027221366204417043,0.01716632540801886,0,1,4
bert,farm_ads,bert_cls,ig,1000,5,-0.03630585516178737,0.020275745830703493,0,0,5
bert,farm_ads,bert_cls,ig,1500,5,-0.034078068823831534,0.03571989879766833,1,0,4
bert,farm_ads,bert_cls,ig,2000,5,-0.030656137647663083,0.01310016017082721,0,0,5
bert,wos5736,bert_cls,df,500,5,0.04033405403663013,0.03430277401934514,5,0,0
bert,wos5736,bert_cls,df,1000,5,0.036343751233374744,0.033369082951778525,4,0,1
bert,wos5736,bert_cls,df,1500,5,0.04734882331449149,0.030407209519540523,5,0,0
bert,wos5736,bert_cls,df,2000,5,0.05534942942101473,0.019417471099625553,5,0,0
bert,wos5736,bert_cls,dfs,500,5,0.05529780376489106,0.027297572351344265,5,0,0
bert,wos5736,bert_cls,dfs,1000,5,0.08049587026477693,0.01920044452235593,5,0,0
bert,wos5736,bert_cls,dfs,1500,5,0.0644348596024545,0.03223942519174577,5,0,0
bert,wos5736,bert_cls,dfs,2000,5,0.06732871367469465,0.0247531807384995,5,0,0
bert,wos5736,bert_cls,ig,500,5,0.06842536545647145,0.017328752294210634,5,0,0
bert,wos5736,bert_cls,ig,1000,5,0.0623944024996564,0.0261646242568179,5,0,0
bert,wos5736,bert_cls,ig,1500,5,0.06329861292217583,0.02286844416156891,5,0,0
bert,wos5736,bert_cls,ig,2000,5,0.06738952737777837,0.02044094334749209,5,0,0
classic,20ng,fasttext_cnn,df,500,5,-0.1986149529372752,0.01788471552693472,0,0,5
classic,20ng,fasttext_cnn,df,1000,5,-0.09869805882202892,0.024428680845308262,0,0,5
classic,20ng,fasttext_cnn,df,1500,5,-0.06947572889829859,0.03468718863273021,0,0,5
classic,20ng,fasttext_cnn,df,2000,5,-0.04439989286534195,0.03555125039713516,0,0,5
classic,20ng,fasttext_cnn,dfs,500,5,0.021289340101522836,0.03053846131304893,4,0,1
classic,20ng,fasttext_cnn,dfs,1000,5,0.057593296431395546,0.03450074639622122,5,0,0
classic,20ng,fasttext_cnn,dfs,1500,5,0.049501925873019936,0.03486673349641273,4,1,0
classic,20ng,fasttext_cnn,dfs,2000,5,0.0656030405836288,0.0262036170089358,5,0,0
classic,20ng,fasttext_cnn,ig,500,5,-0.03729816595668698,0.03249661393731117,0,1,4
classic,20ng,fasttext_cnn,ig,1000,5,-0.0008624850139019813,0.029323155274037328,2,0,3
