family,selector,dataset_model_cells,mean_test_accuracy,mean_accuracy_delta_vs_none,median_accuracy_delta_vs_none,cell_wins,cell_ties,cell_losses
bert,none,64,0.7955615648337698,0.0,0.0,0,0,0
bert,df,64,0.754074621380671,-0.04148694345309881,-0.03161844576417443,11,0,53
bert,dfs,64,0.7495460578728962,-0.04601550696087372,-0.042178823409979194,10,0,54
bert,ig,64,0.7479426709977464,-0.047618893836023565,-0.040605984467793524,9,0,55
classic,none,96,0.6694336787648483,0.0,0.0,0,0,0
classic,df,96,0.667808198569952,-0.0016254801948962973,-0.000522613065326627,47,0,49
classic,dfs,96,0.706022750642364,0.03658907187751568,0.011107216230097593,68,0,28
classic,ig,96,0.6938096128072347,0.024375934042386502,0.010467486687167191,62,0,34
gcn,none,16,0.6765765431072261,0.0,0.0,0,0,0
gcn,df,16,0.6529922525943863,-0.02358429051283983,-0.01900218106898603,4,0,12
gcn,dfs,16,0.7056459773830389,0.029069434275812763,0.017458160364848804,13,0,3
gcn,ig,16,0.6881200715100728,0.011543528402846582,0.005034717335209937,9,0,7
