family,dataset_id,model,selector,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
bert,20ng,bert_bilstm_attention,df,5,-0.17729592123051807,0.045813180310624695,0,0,5
bert,20ng,bert_bilstm_attention,dfs,5,-0.060460806570925715,0.026274555851926836,0,0,5
bert,20ng,bert_bilstm_attention,ig,5,-0.08869379894395839,0.030742848110152998,0,0,5
bert,20ng,bert_cls,df,5,-0.18346312782185037,0.023125844392759512,0,0,5
bert,20ng,bert_cls,dfs,5,-0.08462786011274645,0.016882115747243118,0,0,5
bert,20ng,bert_cls,ig,5,-0.08269395199346989,0.01722138983254533,0,0,5
bert,20ng,bert_cnn,df,5,-0.19946312782185038,0.036570400385035874,0,0,5
bert,20ng,bert_cnn,dfs,5,-0.08755187103027831,0.05120942020139558,0,0,5
bert,20ng,bert_cnn,ig,5,-0.09170415529423767,0.03220664781382298,0,0,5
bert,20ng,bert_mean,df,5,-0.17232607198428693,0.029603396976477365,0,0,5
bert,20ng,bert_mean,dfs,5,-0.05848608524857792,0.02075453714691238,0,0,5
bert,20ng,bert_mean,ig,5,-0.07255202407978982,0.036013614674455956,0,0,5
classic,20ng,fasttext_cnn,df,5,-0.09869805882202892,0.024428680845308262,0,0,5
classic,20ng,fasttext_cnn,dfs,5,0.057593296431395546,0.03450074639622122,5,0,0
classic,20ng,fasttext_cnn,ig,5,-0.0008624850139019813,0.029323155274037328,2,0,3
classic,20ng,fasttext_lstm,df,5,0.012005484274162698,0.04442907890774995,3,0,2
classic,20ng,fasttext_lstm,dfs,5,0.3114101726908655,0.027923687022917497,5,0,0
classic,20ng,fasttext_lstm,ig,5,0.058227508098869986,0.07466796402344918,3,0,2
gcn,20ng,fasttext_residual_word_gcn,df,5,-0.13394094839680637,0.050057199881321526,0,0,5
gcn,20ng,fasttext_residual_word_gcn,dfs,5,0.07050649185011351,0.026797902131402436,5,0,0
gcn,20ng,fasttext_residual_word_gcn,ig,5,-0.05050177282350839,0.024984610632076104,0,0,5
classic,20ng,fasttext_wa,df,5,-0.17029059000586688,0.03638862100898414,0,0,5
classic,20ng,fasttext_wa,dfs,5,-0.015182128918705207,0.04618235563256173,2,0,3
classic,20ng,fasttext_wa,ig,5,-0.0746019692370482,0.04023406872561003,0,0,5
classic,20ng,random_cnn,df,5,-0.023253552024079784,0.054739234798958,2,0,3
classic,20ng,random_cnn,dfs,5,0.1018454710098717,0.021875516341632283,5,0,0
classic,20ng,random_cnn,ig,5,0.03530410937938424,0.04264522129647645,4,0,1
classic,20ng,random_lstm,df,5,0.02207019870928245,0.026743862567732445,4,0,1
classic,20ng,random_lstm,dfs,5,0.3146637247149453,0.030708773451546476,5,0,0
classic,20ng,random_lstm,ig,5,0.066663495140678,0.0412959158034887,5,0,0
classic,20ng,random_wa,df,5,-0.15223074764686373,0.04216737239777621,0,0,5
classic,20ng,random_wa,dfs,5,-0.01427441777414995,0.04479833175712178,1,1,3
classic,20ng,random_wa,ig,5,-0.04940553018901617,0.022322760370705748,0,0,5
bert,ag_news,bert_bilstm_attention,df,5,-0.0549753743843596,0.019968878935285116,0,0,5
bert,ag_news,bert_bilstm_attention,dfs,5,-0.05398064951623791,0.020646397179707128,0,0,5
bert,ag_news,bert_bilstm_attention,ig,5,-0.042950448761218986,0.034484380603862504,0,0,5
bert,ag_news,bert_cls,df,5,-0.0659803495087377,0.030079750047911618,0,0,5
bert,ag_news,bert_cls,dfs,5,-0.0770107002675067,0.015301141316498262,0,0,5
bert,ag_news,bert_cls,ig,5,-0.05500537513437835,0.02669740438210714,0,0,5
bert,ag_news,bert_cnn,df,5,-0.06394054851371285,0.02341269288887987,0,0,5
bert,ag_news,bert_cnn,dfs,5,-0.048990499762494054,0.01134716848897115,0,0,5
bert,ag_news,bert_cnn,ig,5,-0.05096039900997522,0.02402335882095279,0,0,5
bert,ag_news,bert_mean,df,5,-0.05000020000500009,0.029368180058525973,0,0,5
bert,ag_news,bert_mean,dfs,5,-0.05401532538313458,0.031111253945486226,0,0,5
