family,selector,fold_runs,mean_feature_selection_seconds,mean_graph_construction_seconds,mean_embedding_matrix_seconds,mean_training_seconds,mean_test_inference_seconds,mean_final_pipeline_seconds,std_final_pipeline_seconds,mean_peak_gpu_memory_mb,relative_final_pipeline_time_vs_none
bert,none,320,0.005809484372002771,0.0,0.0,124.47334806093514,0.9951495462479215,125.47430709155506,88.75692867241706,2166.8550033569336,1.0
bert,df,320,0.04304749249640736,0.0,0.0,122.00513195749936,0.9027952868767898,122.95097473687255,96.1831220231283,2167.116668701172,0.9798896490192107
bert,dfs,320,0.05290478999813786,0.0,0.0,91.96862938437098,0.645895707190175,92.66742988155929,58.56150091555518,2166.1932723999025,0.7385370920115341
bert,ig,320,0.06666163499903632,0.0,0.0,101.75765690218869,0.7390562162561765,102.5633747534439,77.44322087188975,2166.373306274414,0.8174053886474647
classic,none,480,0.006219741250667236,0.0,0.06906905895837857,7.569667482708413,0.012548247707998901,7.657504530625458,8.30030243776848,0.0,1.0
classic,df,480,0.03668725499901484,0.0,0.007233290208440242,7.81615080729163,0.012106939375060695,7.872178291874146,8.829701368756279,0.0,1.0280344282383538
classic,dfs,480,0.04545530125001278,0.0,0.00767518854197533,5.678336728541497,0.010367562916727972,5.741834781250214,7.205847291502966,0.0,0.7498310654974207
classic,ig,480,0.056609188749007444,0.0,0.007536551458141124,6.364500543541529,0.01105151499952323,6.439697798748201,8.712170346853588,0.0,0.840965587809089
gcn,none,80,0.00535687750307261,1.3908972762525083,0.11191883374849568,0.6447199062487925,0.0034650100009457675,2.1563579037538148,1.7711374288112889,0.0,1.0
gcn,df,80,0.03210992374588386,0.3921619400003692,0.011046370002441108,0.3213139337458415,0.0011254112483584321,0.7577575787428941,0.44659306738964266,0.0,0.3514062194516876
gcn,dfs,80,0.04014056500454899,0.1409532349956862,0.011866966251545819,0.24764738000303624,0.001029956246202346,0.4416381025010196,0.2112922522176234,0.0,0.20480742168645125
gcn,ig,80,0.050239631252043185,0.18970619500250904,0.011362403751991223,0.282238230000803,0.0009872387498035095,0.53453369875715,0.3330605480124141,0.0,0.24788728152531034
